שלום,[shalom],привет
מברשת שיניים,[mivreshet shinayim],зубная щетка
תיק,[tik],сумка
ארנק,[arnak],кошелек
משקפיים,[mishkafayim],очки
שעון,[shaon],часы
בגד,[beged],одежда
נעל,[naal],обувь
חולצה,[hultza],рубашка
מכנסיים,[mihnasayim],брюки
מעיל,[meil],пальто
שמלה,[simla],платье
חצאית,[hatza'it],юбка
כובע,[kova],шляпа
צעיף,[tzaif],шарф
כפפה,[kfafa],перчатка
חגורה,[hagura],ремень
תכשיט,[tahshit],украшение
שרשרת,[sharsheret],цепочка
טבעת,[tabat],кольцо
עגיל,[agil],серьга
צמיד,[tzamid],браслет
חלב,[halav],молоко
ביצה,[beitza],яйцо
לחם,[lehem],хлеб
עוף,[of],курица
בשר,[basar],мясо
דג,[dag],рыба
גבינה,[gvina],сыр
מרק,[marak],суп
ירק,[yerek],овощ
פירות,[peirot],фрукты
תפוח,[tapuah],яблоко
בננה,[banana],банан
תפוז,[tapuz],апельсин
ענב,[enav],виноград
אגס,[agas],груша
שזיף,[shazif],слива
אבוקדו,[avokado],авокадо
מלפפון,[melafefon],огурец
עגבנייה,[agvaniya],помидор
פלפל,[pilpel],перец
חסה,[hasa],салат
גזר,[gezer],морковь
בצל,[batzal],лук
שום,[shum],чеснок
תפוח אדמה,[tapuah adama],картофель
בטטה,[batata],батат
תירס,[tiras],кукуруза
אפונה,[afuna],горох
שעועית,[sha'uit],фасоль
עדשים,[adashim],чечевица
פטרייה,[pitriya],гриб
קפה,[kafe],кофе
תה,[te],чай
מיץ,[mitz],сок
יין,[yain],вино
בירה,[bira],пиво
מים מינרליים,[mayim mineraliyim],минеральная вода
שוקולד,[shokolad],шоколад
עוגה,[uga],торт
עוגייה,[ugiya],печенье
קינוח,[kinuah],десерт
גלידה,[glida],мороженое
סוכר,[sukar],сахар
מלח,[melah],соль
פלפל,[pilpel],перец
שמן,[shemen],масло
חמאה,[hem'a],сливочное масло
חומץ,[hometz],уксус
ריבה,[riba],варенье
דבש,[dvash],мёд
חרדל,[hardal],горчица
קטשופ,[ketchup],кетчуп
מיונז,[mayonez],майонез
רוטב,[rotev],соус
ממרח,[memrah],паста (например арахисовая)
ארוחת בוקר,[aruchat boker],завтрак
ארוחת צהריים,[aruhat tzaharayim],обед
ארוחת ערב,[aruhat erev],ужин
תפריט,[tafrit],меню
מסעדה,[mis'ada],ресторан
מלצר,[meltzar],официант
מלצרית,[meltzarit],официантка
שולחן,[shulhan],стол
כיסא,[kise],стул
צלחת,[tzalahat],тарелка
כוס,[kos],стакан
סכין,[sakin],нож
מזלג,[mazleg],вилка
כפית,[kapit],ложка
מפית,[mapit],салфетка
מפה,[mapa],скатерть
ספל,[sefel],чашка
קומקום,[kumkum],чайник
מקרר,[mekarer],холодильник
כיריים,[kiraim],плита
תנור,[tanur],духовка
מיקרוגל,[mikrogal],микроволновка
ארון,[aron],шкаф
מדף,[madaf],полка
סיר,[sir],кастрюля
מחבת,[mahvat],сковорода
קערה,[ke'ara],миска
מסננת,[masnenet],дуршлаг
פותחן,[pothan],открывалка
מגררת,[magreret],терка
מטאטא,[mat'ate],веник
יעה,[ya'a],совок
דלי,[dli],ведро
סמרטוט,[smartut],тряпка
שואב אבק,[sho'ev avak],пылесос
מכונת כביסה,[mehonat kvisa],стиральная машина
מייבש כביסה,[meyabesh kvisa],сушилка
מגהץ,[magheitz],утюг
קרש גיהוץ,[keresh giyutz],гладильная доска
כפתור,[kaftor],кнопка
רוכסן,[rohsan],молния
חוט,[hut],нить
מחט,[mahat],игла
מספריים,[misparayim],ножницы
בגד ים,[beged yam],купальник
תחתונים,[tahtonim],трусы
גופייה,[gufiya],майка
חזייה,[haziya],бюстгальтер
פיג'מה,[pijama],пижама
כפכפים,[kafkafim],шлёпанцы
נעליים,[naalayim],ботинки
מגפיים,[magafayim],сапоги
גרביים,[garbayim],носки
משקפי שמש,[mishkafei shemesh],солнечные очки
צעיף,[tzaif],шарф
מטרייה,[mitriya],зонтик
ארנק,[arnak],кошелек
מפתח,[mafteach],ключ
תיק גב,[tik gav],рюкзак
מזוודה,[mizvada],чемодан
דרכון,[darkon],паспорт
כרטיס אשראי,[kartis ashrai],кредитная карта
כרטיס נסיעה,[kartis nesia],проездной билет
רישיון נהיגה,[rishayon nehiga],водительское удостоверение
רכב,[rehev],автомобиль
מכונית,[mehonit],машина
אופניים,[ofanayim],велосипед
קטנוע,[katnoa],мопед
אופנוע,[ofnoa],мотоцикл
אוטובוס,[otobus],автобус
רכבת,[rakevet],поезд
מטוס,[matos],самолет
סירה,[sira],лодка
אונייה,[oniya],корабль
תחנת דלק,[tahanat delek],заправка
חנייה,[hanaya],парковка
כביש,[kvish],дорога
רמזור,[ramzor],светофор
צומת,[tzomet],перекресток
מדרכה,[midraha],тротуар
מעבר חצייה,[maavar hatzaya],пешеходный переход
גשר,[gesher],мост
מנהרה,[minhara],туннель
כיכר,[kikar],площадь
פארק,[park],парк
גן שעשועים,[gan sha'ashuyim],детская площадка
בריכה,[breiha],бассейн
מגרש ספורט,[migrash sport],спортивная площадка
אולם ספורט,[ulam sport],спортзал
מגרש כדורגל,[migrash kaduregel],футбольное поле
מגרש טניס,[migrash tenis],теннисный корт
אצטדיון,[itztadion],стадион
קולנוע,[kolnoa],кинотеатр
תיאטרון,[teatron],театр
מוזיאון,[muzeon],музей
ספרייה,[sifriya],библиотека
גלריה,[galerya],галерея
מועדון לילה,[moadon laila],ночной клуб
מסיבה,[mesiba],вечеринка
קונצרט,[kontzert],концерт
תערוכה,[ta'aruha],выставка
כנס,[kenes],конференция
ישיבה,[yeshiva],совещание
הרצאה,[hartsaa],лекция
חנות,[hanut],магазин
סופרמרקט,[supermarket],супермаркет
קניון,[kenyon],торговый центр
שוק,[shuk],рынок
קפיטריה,[kapiterya],кафетерий
בית קפה,[beit kafe],кофейня
מאפייה,[maafiya],пекарня
בית מלון,[beit malon],гостиница
הוסטל,[hostel],хостел
אכסניה,[ahsania],общежитие
צימר,[tzimer],гостевой дом
ספל,[sefel],чашка
טלוויזיה,[televizya],телевизор
רדיו,[radio],радио
מצלמה,[matzlema],камера
כבל,[kabel],кабель
שלט,[shalat],пульт
מיקרופון,[mikrofon],микрофон
רמקול,[ramkol],динамик
סוללה,[solela],батарея
מטען,[mat'en],зарядное устройство
לוח אם,[luah em],материнская плата
זיכרון,[zikaron],память
מעבד,[me'abed],процессор
כרטיס מסך,[kartis masah],видеокарта
מסך,[masah],экран
מדפסת,[madpeset],принтер
סורק,[sorek],сканер
דיסק קשיח,[disk kashiah],жесткий диск
תוכנה,[tohna],программа
מערכת הפעלה,[ma'arehet haf'ala],операционная система
אינטרנט,[internet],интернет
דפדפן,[dafdan],браузер
דואר אלקטרוני,[do'ar elekroni],электронная почта
אתר,[atar],сайт
רשת חברתית,[reshet hevratit],социальная сеть
הודעה,[hodaa],сообщение
שיחה,[siha],чат
הורדה,[horada],скачивание
העלאה,[ha'alaa],загрузка
תיקייה,[tikya],папка
קובץ,[kovetz],файл
שולחן עבודה,[shulhan avoda],рабочий стол
תפריט,[tafrit],меню
לחצן,[lahtzan],кнопка
סיסמה,[sisma],пароль
אבטחה,[avtaha],безопасность
משתמש,[mishtamesh],пользователь
הרשאה,[harshaa],разрешение
גישה,[gisha],доступ
חיבור,[hibur],соединение
רשת,[reshet],сеть
שרת,[sharat],сервер
לקוח,[lakoach],клиент
בסיס נתונים,[basis netunim],база данных
אלגוריתם,[algoritm],алгоритм
קידוד,[kidud],кодирование
פענוח,[pe'anua],декодирование
תחביר,[tahbir],синтаксис
תכנות,[tihnut],программирование
משתנה,[mishtane],переменная
פונקציה,[funktzya],функция
לולאה,[lu'laa],цикл
תנאי,[tnai],условие
מחרוזת,[mahrozet],строка
רשימה,[reshima],список
מילון,[milon],словарь
מחלקה,[mahlaka],отдел
אובייקט,[object],объект
ירושה,[yerusha],наследование
כימיה,[himiya],химия
פיזיקה,[fizika],физика
ביולוגיה,[biologia],биология
מתמטיקה,[matematika],математика
סטטיסטיקה,[statistika],статистика
כלכלה,[kalkala],экономика
היסטוריה,[historia],история
גאוגרפיה,[geographya],география
פסיכולוגיה,[psichologia],психология
סוציולוגיה,[sociologia],социология
פילוסופיה,[filosofia],философия
ארכיאולוגיה,[arhaeologia],археология
אנתרופולוגיה,[antropologia],антропология
חינוך,[hinuch],образование
מדעי המחשב,[madaei hamahshev],информатика
הנדסה,[handasa],инженерия
אדריכלות,[adrihalut],архитектура
רפואה,[refua],медицина
משפטים,[mishpatim],юриспруденция
חקלאות,[hakla'ut],сельское хозяйство
וטרינריה,[veterinaria],ветеринария
מדעים מדויקים,[mada'im meduyakim],точные науки
תיאוריה,[teoria],теория
פרקטיקה,[praktika],практика
מחקר,[mehkar],исследование
ניסוי,[nisui],эксперимент
תוצאה,[totzaa],результат
ניתוח,[nituah],анализ
סטטיסטי,[statisti],статистический
שדה,[sade],поле
מעבדה,[ma'abada],лаборатория
מודל,[model],модель
שיטה,[shita],метод
פיתוח,[pituah],разработка
יישום,[yisum],применение
נוסחה,[nusha],формула
משוואה,[mishvaa],уравнение
גרף,[graf],график
טבלה,[tabla],таблица
אינדיקטור,[indikator],индикатор
דגימה,[dgima],образец
מדד,[madad],показатель
מדידה,[medida],измерение
תקן,[teken],стандарт
תיאום,[teum],координация
פיקוח,[pikuah],контроль
בקרה,[bakara],мониторинг
ניהול,[nihul],управление
תכנון,[tihnun],планирование
ארגון,[irgun],организация
משאב,[mashab],ресурс
פרויקט,[proekt],проект
מטריצה,[matritza],матрица
מערכת,[maarehet],система
תשתית,[tashtit],инфраструктура
ביצוע,[bitzu'a],исполнение
הערכה,[ha'araa],оценка
התייעלות,[hityaa'lut],оптимизация
אסטרטגיה,[astrategia],стратегия
תחרות,[taharut],конкуренция
שוק,[shuk],рынок
מוצר,[mutzar],продукт
שירות,[shirut],услуга
לקוחות,[lakochot],клиенты
מכירות,[mehirot],продажи
רווח,[revah],прибыль
הפסד,[hefsed],убыток
הכנסות,[hahnasot],доходы
הוצאות,[hotzaot],расходы
מאזן,[maazan],баланс
חשבונאות,[heshbonaut],бухгалтерия
דוח,[doh],отчет
פיננסים,[finansim],финансы
השקעות,[hashkaot],инвестиции
תקציב,[takziv],бюджет
ניהול סיכונים,[nihul sikunim],управление рисками
חשבונאי,[heshbona'i],бухгалтер
בנק,[bank],банк
אשראי,[ashrai],кредит
הלוואה,[halvaa],заем
חוב,[hov],долг
ריבית,[ribit],процент
ביטוח,[bituah],страхование
פוליסה,[polisa],полис
סוכן ביטוח,[sohen bituach],страховой агент
תביעה,[tvi'a],иск
פיצוי,[pitzui],компенсация
דיבידנד,[dividend],дивиденд
נכס,[nehes],актив
בורסה,[bursa],биржа
משכנתא,[mashkanta],ипотека
חשבונאות,[heshbona'ut],бухгалтерия
בקרה פיננסית,[bakara finansit],финансовый контроль
ניתוח כלכלי,[nituah kalkali],экономический анализ
תכנון פיננסי,[tihnun finansit],финансовое планирование
מנהל כספים,[menahel kesafim],финансовый директор
רגולציה,[regulatzia],регулирование
מיסים,[misim],налоги
הצהרת הון,[hatzharat hon],декларация о доходах
גירעון,[giraon],дефицит
עבודה,[avoda],работа
עובד,[oved],работник
מעסיק,[ma'asik],работодатель
משכורת,[mashkoret],зарплата
שכר,[sahar],оплата
משרה,[misra],должность
קידום,[kidum],повышение
פיטורים,[piturim],увольнение
שביתה,[shvita],забастовка
פרישה,[prisha],пенсия
חוזה,[hoze],контракт
תנאים,[tnayim],условия
ראיון,[reayon],интервью
הכשרה,[hahshara],обучение
גיוס,[gius],набор
דרישות עבודה,[drishot avoda],требования к работе
תיאור תפקיד,[te'ur tafkid],описание должности
כישורים,[kishurim],навыки
מועמד,[mu'amad],кандидат
מבחן,[mivhan],тест
ראיון עבודה,[reayon avoda],собеседование
המלצה,[hamlatza],рекомендация
הדרכה,[hadraha],инструкция
עובד חדש,[oved hadash],новый сотрудник
הטבות,[hatavot],льготы
קרן פנסיה,[keren pensiya],пенсионный фонд
תמריצים,[tamritzim],стимулы
בונוס,[bonus],бонус
תגמולים,[tagmulim],вознаграждения
שעות עבודה,[shaot avoda],рабочие часы
חופשה,[hufsha],отпуск
ימי מחלה,[yamei mahala],больничные дни
תשלום,[tashlum],платеж
שכר ברוטו,[sahar bruto],валовая зарплата
שכר נטו,[sahar neto],чистая зарплата
ניכויים,[nikuyim],удержания
קרן השתלמות,[keren hishtalmot],учебный фонд
תרומה,[truma],пожертвование
פנסיה,[pensiya],пенсия
גמלה,[gimla],пособие
שוק העבודה,[shuk ha'avoda],рынок труда
שכר מינימום,[sahar minimum],минимальная зарплата
אבטלה,[avtala],безработица
תעסוקה,[tasuka],занятость
חיפוש עבודה,[hipus avoda],поиск работы
משרת חלקית,[misrat helkit],неполная занятость
משרת מלאה,[misrat mele'a],полная занятость
חוזה זמני,[hoze zmani],временный контракт
משרה זמנית,[misra zmania],временная должность
שינוי קריירה,[shinui kariera],смена карьеры
מנהל,[menahel],менеджер
מנהיג,[manhig],лидер
מפתח תוכנה,[mefate'ach tochna],разработчик программного обеспечения
מפתח רכב,[mefate'ach rehev],автомобильный механик
מטפל,[matpel],медсестра
פיזיותרפיה,[physiotherapia],физиотерапия
מדינה,[medina],государство
ראש ממשלה,[rosh memshala],президент
מנהיגות,[manhigut],правление
מיזם,[mizam],проект
תיקון,[tikun],ремонт
בנייה,[bninya],строительство
חשמל,[hashmal],электричество
מהנדס חשמל,[mehandes hashmal],электрик
מהנדס אלקטרוניקה,[mehandes elektronika],инженер-электронщик
מגנט,[magnet],магнит
תעשייה,[taasiya],промышленность
מנהל עסק,[menahel esek],бизнес-менеджер
שותף,[shutaf],партнер
מימון,[mimon],финансирование
אגרה,[agra],оплата
ביטוח חיים,[bituah haim],страхование жизни
ביטוח בריאות,[bituah briut],медицинская страховка
משרד,[misrad],офис
פקס,[faks],факс
מכתב,[mihtav],письмо
דואר,[doar],почта
המלצות,[hamlatzot],рекомендации
הזמנה,[hazmana],приглашение
תוכנית,[tohnit],план
שיפוצים,[shifutim],ремонтные работы
מחסן,[mahsan],склад
תחזוקה,[tahzuka],обслуживание
תקן איכות,[teken eihut],стандарт качества
בטיחות,[bitahon],безопасность
קריאה,[kriya],чтение
כתיבה,[ktiva],письмо
ספרות,[sifrut],литература
שירה,[shira],поэзия
מאמר,[maamar],статья
מחקר,[mahkar],исследование
פוליטיקה,[politika],политика
שפה,[safa],язык
תרגום,[targum],перевод
בריאות,[briut],здоровье
רפואה,[refua],медицина
מחלה,[makhala],болезнь
טיפול,[tipul],терапия
מרפא,[mirpaa],клиника
סבתא,[savta],бабушка
קרוב משפחה,[karov mishpaha],родственник
הורים,[horim],родители
אחים,[ahim],братья
אחיות,[ahayot],сестры
טפסים,[tafsim],формы
מסמכים,[mismahim],документы
קבלה,[kabala],прием
תיק,[tik],дело
תעודה,[teuda],сертификат
מזג אוויר,[mezeg avir],погода
תחזית,[tahzit],прогноз
גשם,[geshem],дождь
שלג,[sheleg],снег
רוח,[ruah],ветер
סופה,[sufa],шторм
ענן,[anan],облако
זוהם,[zoham],загрязнение
קרינה,[krina],излучение
פליט,[palit],беженство
נסיעה,[nesia],путешествие
אוכל,[ohel],еда
שתייה,[shtiya],напитки
מזון,[mazon],питание
תבלינים,[tavlinim],специи
מתכון,[matkon],рецепт
בישול,[bishul],готовка
אוכל ביתי,[ohel beyti],домашняя еда
מסעדה,[misada],ресторан
אוכל רחוב,[ochel rehov],уличная еда
אפייה,[afiya],выпечка
קינוח,[kinuah],десерт
פירות,[pirot],фрукты
ירקות,[yerakot],овощи
בשר,[basar],мясо
דגים,[dagim],рыба
מנה,[mana],порция
כוס,[kos],чашка
צלחת,[tsalahat],тарелка
מזלג,[mazleg],вилка
סכין,[sakin],нож
כף,[kaf],ложка
כלי כיבוד,[kelei kibud],посуда
צילום,[tsilum],фотография
מצלמה,[matzlema],камера
מגבר,[magber],усилитель
רמקול,[ramkol],колонка
מיקרופון,[mikrofon],микрофон
פסנתר,[pisnater],пианино
חצוצרה,[hatzotzra],труба
תופים,[tupim],барабаны
חצר,[hatzer],двор
גן,[gan],сад
שדה,[sade],поле
ים,[yam],море
אוקיינוס,[okeanus],океан
נהר,[nahar],река
ישוב,[yishuv],поселение
עיר,[ir],город
כפר,[kfar],деревня
ארץ,[eretz],земля
עולם,[olam],мир
שמש,[shemesh],солнце
ירח,[yareach],луна
כוכב,[kochav],звезда
מזל,[mazal],судьба
גל,[gal],волна
אוויר,[avir],воздух
מיץ,[mitz],сок
שתייה,[shtiya],питьё
מים,[mayim],вода
מקלחת,[miklahat],душ
אמבטיה,[ambatiya],ванна
שן,[shen],зуб
לשון,[lashon],язык
פה,[pe],рот
אוזן,[ozen],ухо
עין,[ayin],глаз
חטן,[hatan],брак
כלה,[kala],невеста
חתן,[khatan],жених
כיתוב,[kituv],надпись
קישור,[keshur],связь
קשר,[kesher],отношение
שיחה,[siha],разговор
נאום,[neum],речь
כעס,[kaas],злость
שמחה,[simha],радость
דאגה,[deaga],беспокойство
עצב,[etzav],грусть
חוזק,[hozek],сила
חולש,[holash],слабость
שקט,[shaket],тишина
רעש,[raash],шум
רוגע,[rogea],спокойствие
חם,[ham],жара
קור,[kor],холод
לחץ,[lahatz],давление
משפחה,[mishpaha],семья
אב,[av],отец
אם,[em],мать
אח,[ach],брат
אחות,[ahot],сестра
בן,[ben],сын
בת,[bat],дочь
נכד,[nahad],внук
נכדה,[nahda],внучка
אחים,[ahim],братья
אחיות,[ahayot],сестры
טיפול,[tipul],забота
תירס,[tiras],ячмень
חיטה,[hitah],пшеница
שיפון,[shipon],овес
קטניות,[katniyot],зерновые
תירוש,[tirosh],виноградный сок
יקב,[yekav],винодельня
בצל,[batzal],лук
תפוח עץ,[tapuah etz],яблоня
ענב,[anav],виноград
תאנה,[teena],инжир
אפרסק,[afarsek],персик
חמוצים,[hamutzim],квашеные овощи
סלט,[salat],салат
סלט ירקות,[salat yerakot],овощной салат
סלט פירות,[salat perot],фруктовый салат
ביצה,[beitza],яйцо
אורז,[orez],рис
פול,[pol],бобы
חומוס,[humus],нут
פרוסות,[prusot],кусочки
עוגה,[uga],торт
עוגייה,[ugiyah],печенье
פיצה,[pitza],пицца
פתה,[pita],пита
בוטנים,[botnim],орехи
נייר,[niyar],бумага
עיתון,[iton],газета
ספר,[sefer],книга
מחברת,[mahberet],тетрадь
דף,[daf],страница
מחשב,[mahshev],компьютер
מקלדת,[mikledet],клавиатура
עכבר,[ahbar],мышь
חתול,[hatul],кошка
כלב,[kelev],собака
דג,[dag],рыба
ציפור,[tsipor],птица
תרנגול,[tarnegol],курица
יום ראשון,[yom rishon],воскресенье
יום שני,[yom sheni],понедельник
יום שלישי,[yom shlishi],вторник
יום רביעי,[yom revi'i],среда
יום חמישי,[yom hamishi],четверг
יום שישי,[yom shishi],пятница
יום שבת,[yom shabbat],суббота
ארצות הברית,[artzot habrit],Соединённые Штаты Америки
קנדה,[kanada],Канада
מקסיקו,[meksiko],Мексика
ברזיל,[brazil],Бразилия
צרפת,[tsarfat],Франция
גרמניה,[germania],Германия
איטליה,[italia],Италия
ספרד,[sfarad],Испания
הולנד,[holand],Нидерланды
בלגיה,[belgia],Бельгия
שוויץ,[shvaitz],Швейцария
אוסטרליה,[ostralia],Австралия
יפן,[yapan],Япония
סין,[sin],Китай
הודו,[hodu],Индия
קולומביה,[kolombia],Колумбия
ארגנטינה,[argentina],Аргентина
פורטוגל,[portugal],Португалия
תאילנד,[tayland],Таиланд
אירלנד,[irland],Ирландия
נורווגיה,[norvegia],Норвегия
אוקראינה,[ukraina],Украина
בלארוס,[belarus],Беларусь
גרינלנד,[grinland],Гренландия
קובה,[kuba],Куба
איסלנד,[island],Исландия
קפריסין,[kaprisin],Кипр
אוסטריה,[ostria],Австрия
פיליפינים,[filipinim],Филиппины
הונגריה,[hungaria],Венгрия
פינלנד,[finland],Финляндия
פולין,[polin],Польша
ליטא,[lita],Литва
אסטוניה,[estonia],Эстония
לקנות,[liknot],купить
למכור,[limkor],продать
ללמוד,[lilmod],учиться
ללמד,[lamed],учить
לעבוד,[laavod],работать
לנסוע,[linsoa],путешествовать
להגיע,[lehagia],прибывать
לעזוב,[laazov],покидать
לשבת,[lishvot],сидеть
ללכת,[lalehet],идти
לרוץ,[larutz],бежать
לדבר,[ledaber],говорить
לשתות,[lishtot],пить
לאכול,[leehol],есть
להיות,[lehiot],быть
לפתח,[liftoah],открывать
לסגור,[lisgor],закрывать
לחפש,[lehapes],искать
למצוא,[limtzoa],находить
להתחיל,[lehathil],начинать
לסיים,[lisayem],заканчивать
להפסיק,[lehafsik],прекращать
לחשוב,[lahshov],думать
להבין,[lehavin],понимать
לכתוב,[liktov],писать
לקרוא,[likro],читать
לשמוע,[lishmoa],слышать
לראות,[lir'ot],видеть
להראות,[leharaot],показывать
לפעול,[lif'ol],действовать
להתפעל,[lehitpa'el],удивляться
לצפות,[litzpot],ожидать
להפתיע,[lehatpia],удивлять
לעזור,[la'azor],помогать
לבקש,[levakesh],просить
לתת,[latet],давать
לקבל,[lekabel],получать
לעשות,[la'asot],делать
לקפוץ,[likpotz],прыгать
לעצור,[la'atzor],останавливать
להיכנס,[lehikanes],входить
לצאת,[latzet],выходить
להכין,[lehakin],приготавливать
לאכול,[le'echol],кушать
לנסוע,[linsoa],ездить
לרכוש,[lirkosh],приобретать
לעבור,[la'avor],проходить
לעבור,[la'avor],пересекать
לפול,[lip'ol],падать
לחזור,[lahzor],возвращаться
להפעיל,[lehaf'il],включать
לכבות,[lihbot],выключать
להתלבש,[lehitlabesh],одеваться
לשכור,[lishor],арендовать
לעזור,[la'azor],помогать
להפוך,[lehafoh],переворачивать
לפתח,[liftoah],открывать
לסגור,[lisgor],закрывать
להקשיב,[lehakshiv],слушать
להסביר,[lehasbir],объяснять
להגיד,[lehagid],сказать
להביע,[lehavia],выражать
לשכוח,[lishkoah],забывать
להזכיר,[lehazkir],напоминать
להזכיר,[lehazkir],вспоминать
לשכוח,[lishkoah],забывать
לכתוב,[liktov],писать
למחוק,[limhok],стирать (например текст)
לצייר,[litsayer],рисовать
לרשום,[lirshom],записывать
להוציא,[lehotsi],вытаскивать
להכניס,[lehaknis],вставлять
להכניס,[lehaknis],вводить
להציג,[lehatzig],представлять
להוריד,[lehorid],скачивать
להעלות,[lehaalot],загружать
לקלוט,[leklut],принимать
להשפיע,[lehashpia],влиять
להזמין,[lehazmin],заказывать
לשלוח,[leshloah],отправлять
לשאול,[lish'ol],спрашивать
לענות,[laanot],отвечать
לשמור,[lishmor],сохранять
להגן,[lehagen],защищать
לספר,[lisfor],считать
לבדוק,[livdok],проверять
להבחין,[lehavhin],различать
לשכנע,[leshakne],убеждать
לשקול,[leshkol],взвешивать
להביא,[lehavia],приносить
להפסיק,[lehafsik],прекращать
להתמקד,[lehitmaked],сосредотачиваться
לפרק,[lefarek],разбирать
להרכיב,[leharkiv],собирать
להרכיב,[leharkiv],устанавливать
להתקין,[lehatkin],устанавливать (про программу)
לחבר,[lehaber],подключать
לנקות,[linakot],чистить
להסתיר,[lehastir],скрывать
להרשות,[leharshot],разрешать
לאשר,[leasher],утверждать
להבטיח,[lehavtiah],обещать
לחזור,[lahzor],вернуться
להקפיא,[lehakfia],замораживать
לפרוק,[lifrok],размораживать
לאפס,[lafes],сбрасывать
לשמור,[lishmor],сохранять
לעבוד,[la'avod],работать
להתעסק,[lehit'asek],заниматься
לפטור,[liftor],освобождать
להפריע,[lehafr'ia],мешать
לשקול,[lishkol],взвешивать
להרים,[lehariym],поднимать
לרדת,[leredet],спускаться
לברוח,[libroah],убегать
לנשום,[linshom],дышать
לעשות,[la'asot],делать
לראות,[lir'ot],видеть
לשמוע,[lishmoa],слышать
לחשוב,[lahshov],думать
לקרוא,[likro],читать
לשכוח,[lishkoah],забыть
להפסיק,[lehafsik],прекратить
להתקרר,[lehitkarer],охлаждаться
לצפות,[litzpot],ожидать
להתקשר,[lehitkasher],связаться
לשמור,[lishmor],хранить
לשכב,[lishkav],лежать
לקפוץ,[lekafetz],прыгать
להתאמן,[lehit'amen],тренироваться
להשתמש,[lehishtamesh],использовать
לכבוש,[likvosh],захватить
לעשות,[la'asot],сделать
לחיות,[lehiyot],жить
לגדול,[ligdol],расти
לצמוד,[litzmod],прилегать
לעמוד,[la'amod],стоять
להתפלל,[lehitpalel],молиться
לזכור,[lizkor],помнить
לשכוב,[lishkov],лежать
לעמוד,[la'amod],стоять
להיכנס,[lehikanes],войти
לכנס,[likanes],входить
לעצור,[la'atzor],остановить
לעצור,[la'atzor],остановиться
לבדוק,[livdok],проверить
לנקות,[lenakot],очистить
לבחור,[libhor],выбрать
לפרוש,[lifrosh],распространить
לנוע,[lanua],двигаться
להקליט,[lehaklit],записать
להשתנות,[lehishtanot],измениться
