accept, [əkˈsɛpt], принимать
delight, [dɪˈlaɪt], восхищать
deliver, [dɪˈlɪvər], доставлять
depend, [dɪˈpɛnd], зависеть
describe, [dɪˈskraɪb], описывать
desert, [ˈdɛzərt], покидать
deserve, [dɪˈzɜrv], заслуживать
destroy, [dɪˈstrɔɪ], разрушать
detect, [dɪˈtɛkt], обнаруживать
develop, [dɪˈvɛləp], развивать
disagree, [dɪsəˈɡri], не соглашаться
disappear, [ˌdɪsəˈpɪr], исчезать
discover, [dɪˈskʌvər], обнаруживать
dislike, [dɪsˈlaɪk], не любить
divide, [dɪˈvaɪd], делить
do, [duː], делать
double, [ˈdʌbl], удваивать
doubt, [daʊt], сомневаться
drag, [dræɡ], тащить
drain, [dreɪn], сливать
dream, [driːm], мечтать
dress, [drɛs], одеваться
drip, [drɪp], капать
drop, [drɒp], падать
drown, [draʊn], тонуть
drum, [drʌm], барабанить
dry, [draɪ], сушить
dust, [dʌst], пылить
earn, [ɜrn], зарабатывать
educate, [ˈɛʤʊkeɪt], обучать
embarrass, [ɪmˈbærəs], смущать
employ, [ɪmˈplɔɪ], нанимать
empty, [ˈɛmpti], опустошать
encourage, [ɪnˈkʌrɪʤ], поощрять
end, [ɛnd], заканчивать
enjoy, [ɪnˈdʒɔɪ], наслаждаться
enter, [ˈɛntər], входить
entertain, [ˌɛntərˈteɪn], развлекать
escape, [ɪsˈkeɪp], избегать
examine, [ɪɡˈzæmɪn], исследовать
excite, [ɪkˈsaɪt], возбуждать
excuse, [ɪkˈskjuːz], извинять
exercise, [ˈɛksərsaɪz], заниматься физическими упражнениями
exist, [ɪɡˈzɪst], существовать
expand, [ɪksˈpænd], расширяться
expect, [ɪkˈspɛkt], ожидать
explain, [ɪksˈpleɪn], объяснять
explode, [ɪkˈsphloʊd], взрывать
extend, [ɪkˈstɛnd], продлевать
face, [feɪs], сталкиваться
fade, [feɪd], увядать
fail, [feɪl], не удаваться
fancy, [ˈfænsi], представлять
fasten, [ˈfæsn], застегивать
fax, [fæks], факсировать
fear, [fɪr], бояться
fence, [fɛns], огораживать
fetch, [fɛʧ], приносить
file, [faɪl], подавать (документ)
fill, [fɪl], наполнять
film, [fɪlm], снимать (фильм)
find, [faɪnd], находить
fire, [faɪər], стрелять
fit, [fɪt], подходить
fix, [fɪks], чинить
flap, [flæp], размахивать
flash, [flæʃ], сверкать
float, [floʊt], плыть
flood, [flʌd], затапливать
flow, [floʊ], течь
flower, [ˈflaʊər], цвести
fold, [foʊld], складывать
follow, [ˈfɑloʊ], следовать
fool, [ful], дурачить
force, [fɔrs], заставлять
form, [fɔrm], формировать
found, [faʊnd], основывать
frame, [freɪm], оформлять
frighten, [ˈfraɪtn], пугать
fry, [fraɪ], жарить
gather, [ˈɡæðər], собирать
gaze, [ɡeɪz], уставиться
generate, [ˈʤɛnəˌreɪt], генерировать
get, [ɡɛt], получать
give, [ɡɪv], давать
glow, [ɡloʊ], светиться
glue, [ɡlu], клеить
grab, [ɡræb], хватать
grate, [ɡreɪt], тереть
grease, [ɡris], смазывать
greet, [ɡrit], приветствовать
grin, [ɡrɪn], ухмыляться
grip, [ɡrɪp], сжимать
groan, [ɡroʊn], стонать
guarantee, [ˌɡærənˈti], гарантировать
guard, [ɡɑrd], охранять
guess, [ɡɛs], угадывать
guide, [ɡaɪd], направлять
hammer, [ˈhæmər], молотить
hand, [hænd], передавать
handle, [ˈhændl], обращаться
hang, [hæŋ], вешать
happen, [ˈhæpən], случаться
harass, [həˈræs], преследовать
harm, [hɑrm], вредить
hate, [heɪt], ненавидеть
haunt, [hɔnt], преследовать
head, [hɛd], направлять
heal, [hil], заживать
heap, [hip], куча
hear, [hɪr], слышать
heat, [hit], нагревать
help, [hɛlp], помогать
hide, [haɪd], прятать
hit, [hɪt], бить
hold, [hoʊld], держать
hook, [hʊk], зацеплять
hop, [hɑp], прыгать
hope, [hoʊp], надеяться
hover, [ˈhʌvər], зависать
hug, [hʌɡ], обнимать
hum, [hʌm], напевать
hunt, [hʌnt], охотиться
hurry, [ˈhɜri], торопиться
hurt, [hɜrt], причинять боль
hypothesize, [haɪˈpɑθəˌsaɪz], предполагать
identify, [aɪˈdɛntəˌfaɪ], определять
ignore, [ɪɡˈnɔr], игнорировать
illustrate, [ˈɪləˌstreɪt], иллюстрировать
imagine, [ɪˈmæʤɪn], представлять
impact, [ˈɪmpækt], влиять
implement, [ˈɪmpləˌmɛnt], выполнять
imply, [ɪmˈplaɪ], подразумевать
import, [ˈɪmpɔrt], импортировать
impress, [ɪmˈprɛs], впечатлять
improve, [ɪmˈpruv], улучшать
include, [ɪnˈkluːd], включать
increase, [ɪnˈkriːs], увеличивать
indicate, [ˈɪndɪˌkeɪt], указывать
induce, [ɪnˈdus], вызывать
influence, [ˈɪnfluəns], влиять
inform, [ɪnˈfɔrm], информировать
initiate, [ɪˈnɪʃieɪt], начинать
inject, [ɪnˈʤɛkt], вводить
injure, [ˈɪndʒər], травмировать
inquire, [ɪnˈkwaɪər], узнавать
inspect, [ɪnˈspɛkt], проверять
inspire, [ɪnˈspaɪər], вдохновлять
install, [ɪnˈstɔːl], устанавливать
instruct, [ɪnˈstrʌkt], инструктировать
insult, [ɪnˈsʌlt], оскорблять
intend, [ɪnˈtɛnd], намереваться
interact, [ɪnˈtɜrækt], взаимодействовать
interfere, [ɪntərˈfɪr], вмешиваться
interlock, [ˌɪntərˈlɑːk], защелкивать
interrupt, [ˌɪntəˈrʌpt], прерывать
interview, [ˈɪntərˌvjuː], интервьюировать
introduce, [ˌɪntrəˈduːs], представлять
invent, [ɪnˈvɛnt], изобретать
invite, [ɪnˈvaɪt], приглашать
irritate, [ˈɪrɪˌteɪt], раздражать
itch, [ɪʧ], чесать
jail, [ʤeɪl], заключать в тюрьму
jam, [ʤæm], застревать
jeopardize, [ˈʤɛpəˌdaɪz], подвергать опасности
joke, [ʤoʊk], шутить
judge, [ʤʌʤ], судить
jump, [ʤʌmp], прыгать
justify, [ˈʤʌstɪˌfaɪ], оправдывать
keep, [kip], держать
kick, [kɪk], пинать
kill, [kɪl], убивать
kiss, [kɪs], целовать
kneel, [niːl], становиться на колени
knit, [nɪt], вязать
knock, [nɑk], стучать
knot, [nɑt], завязывать
label, [ˈleɪbl], маркировать
land, [lænd], приземляться
last, [læst], длиться
laugh, [læf], смеяться
launch, [lɔːntʃ], запускать
lay, [leɪ], класть
lead, [liːd], вести
lean, [lin], наклонять
leap, [liːp], прыгать
learn, [lɜrn], учиться
leave, [liv], уезжать
lecture, [ˈlɛkʧər], лекционировать
lend, [lɛnd], давать взаймы
let, [lɛt], позволять
lick, [lɪk], лизать
lie, [laɪ], лежать
lift, [lɪft], поднимать
light, [laɪt], зажигать
lighten, [ˈlaɪtn], освещать
like, [laɪk], нравиться
list, [lɪst], перечислять
listen, [ˈlɪsn], слушать
live, [laɪv], жить
load, [loʊd], загружать
lock, [lɑk], запирать
long, [lɔŋ], жаждать
look, [lʊk], смотреть
lose, [luz], терять
love, [lʌv], любить
maintain, [meɪnˈteɪn], поддерживать
make, [meɪk], делать
manage, [ˈmænɪʤ], управлять
march, [mɑrtʃ], маршировать
mark, [mɑrk], отмечать
marry, [ˈmæri], жениться
match, [mæʧ], соответствовать
mate, [meɪt], спариваться
matter, [ˈmætər], иметь значение
mean, [min], значить
measure, [ˈmɛʒər], измерять
meet, [mit], встречать
melt, [mɛlt], плавить
mention, [ˈmɛnʃən], упоминать
merge, [mɜrdʒ], сливаться
migrate, [ˈmaɪɡreɪt], мигрировать
milk, [mɪlk], доить
mine, [maɪn], добывать
miss, [mɪs], скучать
mix, [mɪks], смешивать
moan, [moʊn], стонать
mock, [mɑk], насмехаться
moor, [mʊr], швартоваться
motivate, [ˈmoʊtɪˌveɪt], мотивировать
mourn, [mɔrn], сетовать
move, [muv], двигаться
mow, [moʊ], косить
murder, [ˈmɜrdər], убивать
nag, [næɡ], придираться
nail, [neɪl], прибивать
name, [neɪm], называть
nap, [næp], вздремнуть
need, [nid], нуждаться
negotiate, [nɪˈɡoʊʃieɪt], вести переговоры
nest, [nɛst], гнездиться
nod, [nɑd], кивать
nominate, [ˈnɑməˌneɪt], выдвигать
note, [noʊt], отмечать
notice, [ˈnoʊtɪs], замечать
number, [ˈnʌmbər], нумеровать
obey, [oʊˈbeɪ], повиноваться
object, [ˈɒbdʒɪkt], возражать
observe, [əbˈzɜrv], наблюдать
obtain, [əbˈteɪn], получать
occupy, [ˈɒkjəpaɪ], занимать
occur, [əˈkɜr], происходить
offend, [əˈfɛnd], оскорблять
offer, [ˈɒfər], предлагать
officially, [əˈfɪʃəli], официально
offset, [ˌɔfˈsɛt], компенсировать
omit, [oʊˈmɪt], пропускать
open, [ˈoʊpən], открывать
operate, [ˈɒpəˌreɪt], работать
oppose, [əˈpoʊz], противостоять
oppress, [əˈprɛs], угнетать
opt, [ɑpt], выбирать
optimize, [ˈɑptɪˌmaɪz], оптимизировать
order, [ˈɔrdər], заказывать
organize, [ˈɔrɡəˌnaɪz], организовывать
orient, [ˈɔriənt], ориентировать
originate, [əˈrɪʤəˌneɪt], происходить
outline, [ˈaʊtˌlaɪn], очерчивать
overcome, [ˌoʊvərˈkʌm], преодолевать
overflow, [ˌoʊvərˈfloʊ], переполнять
overhang, [ˌoʊvərˈhæŋ], нависать
overlap, [ˌoʊvərˈlæp], перекрывать
overload, [ˌoʊvərˈloʊd], перегружать
overlook, [ˌoʊvərˈlʊk], пропускать
overpower, [ˌoʊvərˈpaʊər], одолевать
override, [ˌoʊvərˈraɪd], переопределять
overshadow, [ˌoʊvərˈʃædoʊ], затмевать
overstep, [ˌoʊvərˈstɛp], нарушать
overtake, [ˌoʊvərˈteɪk], обгонять
overthrow, [ˌoʊvərˈθroʊ], свергать
owe, [oʊ], быть должным
own, [oʊn], владеть
pace, [peɪs], шагать
pack, [pæk], упаковывать
paddle, [ˈpædl], весловать
paint, [peɪnt], красить
pair, [pɛr], парировать
pamper, [ˈpæmpər], баловать
panic, [ˈpænɪk], паниковать
park, [pɑrk], парковать
parrot, [ˈpærət], повторять за кем-то
part, [pɑrt], разделять
participate, [pɑrtɪsɪˌpeɪt], участвовать
pass, [pæs], проходить
paste, [peɪst], вставлять
pat, [pæt], похлопывать
patch, [pæʧ], заделывать
patrol, [pəˈtroʊl], патрулировать
pause, [pɔz], останавливаться
pay, [peɪ], платить
peck, [pɛk], клювать
pedal, [ˈpɛdl], педалировать
peek, [pik], подсматривать
peel, [pil], чистить
peep, [pip], подглядывать
peer, [pɪr], всматриваться
peg, [pɛɡ], прикреплять
pelt, [pɛlt], обстреливать
perceive, [pərˈsiːv], воспринимать
perish, [ˈpɛrɪʃ], погибать
permit, [pərˈmɪt], разрешать
persist, [pərˈsɪst], упорствовать
persuade, [pərˈsweɪd], убеждать
phone, [foʊn], звонить
photograph, [ˈfoʊtəˌɡræf], фотографировать
pick, [pɪk], выбирать
pierce, [pɪrs], пронзать
pile, [paɪl], складывать в кучу
pinch, [pɪntʃ], щипать
pine, [paɪn], тосковать
pinpoint, [ˈpɪnˌpɔɪnt], находить точно
pioneer, [ˌpaɪəˈnɪr], прокладывать дорогу
pipe, [paɪp], труба
pique, [piːk], раздражать
pitch, [pɪtʃ], бросать
plagiarize, [ˈpleɪʤəˌraɪz], плагиатить
plan, [plæn], планировать
plant, [plænt], высаживать
play, [pleɪ], играть
plead, [plid], умолять
please, [pliz], угождать
pledge, [plɛʤ], обещать
plow, [plaʊ], пахать
pluck, [plʌk], выщипывать
plug, [plʌɡ], вставлять
point, [pɔɪnt], указывать
poke, [poʊk], тыкать
polish, [ˈpɑlɪʃ], полировать
ponder, [ˈpɑndər], размышлять
pop, [pɑp], всплывать
possess, [pəˈzɛs], обладать
post, [poʊst], отправлять
pot, [pɑt], горшок
pounce, [paʊns], нападать
pour, [pɔr], наливать
pout, [paʊt], гримасничать
practice, [ˈpræktɪs], практиковаться
praise, [preɪz], хвалить
pray, [preɪ], молиться
preach, [pritʃ], проповедовать
precede, [prɪˈsid], предшествовать
predict, [prɪˈdɪkt], предсказывать
prefer, [prɪˈfɜr], предпочитать
prepare, [prɪˈpɛr], подготавливать
prescribe, [prɪˈskraɪb], назначать
present, [prɪˈzɛnt], представлять
preserve, [prɪˈzɜrv], сохранять
press, [prɛs], нажимать
pretend, [prɪˈtɛnd], притворяться
prevent, [prɪˈvɛnt], предотвращать
print, [prɪnt], печатать
probe, [proʊb], зондировать
proclaim, [proʊˈkleɪm], провозглашать
procrastinate, [proʊˈkræstɪˌneɪt], прокрастинировать
produce, [prəˈdus], производить
profess, [prəˈfɛs], притворяться
profit, [ˈprɒfɪt], извлекать выгоду
program, [ˈproʊˌɡræm], программировать
progress, [ˈproʊɡrɛs], продвигаться
prohibit, [proʊˈhɪbɪt], запрещать
project, [ˈprɒʤɛkt], проецировать
promise, [ˈprɒmɪs], обещать
promote, [prəˈmoʊt], продвигать
prompt, [prɒmpt], подстёгивать
pronounce, [prəˈnaʊns], произносить
propose, [prəˈpoʊz], предлагать
protect, [prəˈtɛkt], защищать
protest, [ˈproʊˌtɛst], протестовать
provide, [prəˈvaɪd], обеспечивать
provoke, [prəˈvoʊk], провоцировать
prune, [prun], обрезать
publish, [ˈpʌblɪʃ], публиковать
puff, [pʌf], дымить
pull, [pʊl], тянуть
pump, [pʌmp], нагнетать
punch, [pʌntʃ], ударять кулаком
puncture, [ˈpʌŋktʃər], прокалывать
punish, [ˈpʌnɪʃ], наказывать
purchase, [ˈpɜrʧəs], покупать
purify, [ˈpjʊrɪˌfaɪ], очищать
push, [pʊʃ], толкать
put, [pʊt], класть
qualify, [ˈkwɑləˌfaɪ], квалифицировать
quantify, [ˈkwɑntəˌfaɪ], количественно оценивать
query, [ˈkwɪəri], запрос
question, [ˈkwɛsʧən], спрашивать
queue, [kjuː], стоять в очереди
quicken, [ˈkwɪkən], ускорять
quiet, [ˈkwaɪət], успокаивать
quit, [kwɪt], бросать
quiz, [kwɪz], допрашивать
quote, [kwoʊt], цитировать
race, [reɪs], соревноваться
rack, [ræk], стеллаж
radiate, [ˈreɪdiˌeɪt], излучать
rain, [reɪn], идти дождем
raise, [reɪz], поднимать
rally, [ˈræli], раллировать
ramble, [ˈræmbl], бродить
range, [reɪndʒ], диапазон
rank, [ræŋk], ранжировать
rape, [reɪp], изнасиловать
rarefy, [ˈrɛrɪˌfaɪ], разреживать
rat, [ræt], доносить
rate, [reɪt], оценивать
reach, [riʧ], достигать
react, [riˈækt], реагировать
read, [riːd], читать
realize, [ˈriəˌlaɪz], осознавать
reap, [rip], жать
rearrange, [ˌriːəˈreɪndʒ], перестраивать
reason, [ˈriːzən], рассуждать
rebel, [ˈrɛbəl], бунтовать
recall, [rɪˈkɔl], вспоминать
receive, [rɪˈsiv], получать
recite, [rɪˈsaɪt], рассказывать
recognize, [ˈrɛkəɡˌnaɪz], узнавать
recommend, [ˌrɛkəˈmɛnd], рекомендовать
reconcile, [ˈrɛkənˌsaɪl], примирять
record, [rɪˈkɔrd], записывать
recoup, [rɪˈkuːp], компенсировать
recover, [rɪˈkʌvər], восстанавливать
recruit, [rɪˈkrut], набирать
rectify, [ˈrɛktəˌfaɪ], исправлять
recycle, [riːˈsaɪkl], перерабатывать
redeem, [rɪˈdim], искупать
redirect, [ˌriːdɪˈrɛkt], перенаправлять
reduce, [rɪˈdus], уменьшать
reel, [riːl], крутить
refer, [rɪˈfɜr], ссылаться
reflect, [rɪˈflɛkt], отражать
reform, [rɪˈfɔrm], реформировать
refuse, [rɪˈfjuz], отказываться
regard, [rɪˈɡɑrd], считать
register, [ˈrɛʤɪstər], регистрировать
regret, [rɪˈɡrɛt], сожалеть
regulate, [ˈrɛɡjəˌleɪt], регулировать
rehabilitate, [riːəˈbɪlɪˌteɪt], реабилитировать
rehearse, [rɪˈhɜrs], репетировать
reign, [reɪn], царить
reiterate, [riːˈɪtəreɪt], повторять
reject, [rɪˈʤɛkt], отвергать
relate, [rɪˈleɪt], относиться
relax, [rɪˈlæks], расслабляться
release, [rɪˈlis], выпускать
relinquish, [rɪˈlɪŋkwɪʃ], отказываться
rely, [rɪˈlaɪ], полагаться
remain, [rɪˈmeɪn], оставаться
remember, [rɪˈmɛmbər], помнить
remind, [rɪˈmaɪnd], напоминать
remove, [rɪˈmuv], удалять
render, [ˈrɛndər], визуализировать
renew, [rɪˈnu], обновлять
renovate, [ˈrɛnəˌveɪt], реконструировать
rent, [rɛnt], арендовать
reorganize, [ˌriːˈɔrɡəˌnaɪz], реорганизовывать
repair, [rɪˈpɛr], ремонтировать
repeat, [rɪˈpit], повторять
repent, [rɪˈpɛnt], раскаиваться
replace, [rɪˈpleɪs], заменять
reply, [rɪˈplaɪ], отвечать
report, [rɪˈpɔrt], сообщать
represent, [ˌrɛprɪˈzɛnt], представлять
reproduce, [ˌriːprəˈduːs], воспроизводить
request, [rɪˈkwɛst], запрашивать
require, [rɪˈkwaɪər], требовать
rescue, [ˈrɛskjuː], спасать
research, [rɪˈsɜrtʃ], исследовать
resemble, [rɪˈzɛmbəl], напоминать
resent, [rɪˈzɛnt], возмущаться
reserve, [rɪˈzɜrv], резервировать
reside, [rɪˈzaɪd], проживать
resign, [rɪˈzaɪn], уходить в отставку
resist, [rɪˈzɪst], сопротивляться
resolve, [rɪˈzɑlv], разрешать
resort, [rɪˈzɔrt], прибегать
resound, [rɪˈzaʊnd], раздаваться громко
respect, [rɪˈspɛkt], уважать
respond, [rɪˈspɒnd], реагировать
rest, [rɛst], отдыхать
restore, [rɪˈstɔr], восстанавливать
restrain, [rɪˈstreɪn], сдерживать
restrict, [rɪˈstrɪkt], ограничивать
retire, [rɪˈtaɪər], выходить на пенсию
retreat, [rɪˈtriːt], отступать
retrieve, [rɪˈtriːv], извлекать
return, [rɪˈtɜrn], возвращаться
reveal, [rɪˈviːl], раскрывать
revenge, [rɪˈvɛndʒ], мстить
reverse, [rɪˈvɜrs], разворачивать
review, [rɪˈvjuː], рецензировать
revise, [rɪˈvaɪz], пересматривать
revive, [rɪˈvaɪv], оживлять
revolutionize, [ˌrɛvəˈluːʃəˌnaɪz], революционизировать
reward, [rɪˈwɔrd], вознаграждать
ride, [raɪd], кататься
ridicule, [ˈrɪdɪˌkjuːl], высмеивать
ring, [rɪŋ], звонить
